id_evaluacion,id_dictado,puntaje_dictado,puntaje_contenido,valoracion_general
124,39,4,5,4
125,39,5,4,3
126,39,3,4,5
127,39,4,3,4
128,39,4,4,3
129,39,4,4,5
130,39,5,5,4
131,39,4,5,4
132,39,5,4,4
133,39,4,4,3
134,39,4,3,3
135,39,4,4,4
136,39,2,3,3
137,42,3,3,4
138,42,4,3,3
139,42,4,3,3
140,42,5,3,4
141,42,4,4,4
142,42,3,3,3
143,42,2,4,3
144,42,4,3,3
145,42,2,4,4
146,42,4,4,3
147,42,2,3,3
148,42,4,4,4
149,42,2,3,4
150,43,4,5,4
151,43,5,5,5
152,43,4,4,4
153,43,5,5,4
154,43,4,4,4
155,43,4,4,4
156,44,4,3,4
157,44,3,3,3
158,44,3,1,3
159,44,3,4,3
160,44,3,3,3
161,44,3,3,3
162,44,2,2,3
163,44,3,2,3
164,44,3,3,4
165,45,4,4,4
166,45,5,5,5
167,45,5,4,5
168,46,2,2,2
169,46,3,4,4
170,46,1,4,2
171,46,3,4,3
172,46,3,3,3
173,46,2,3,3
174,46,3,4,3
175,46,4,3,2
176,46,3,3,3
177,46,4,3,4
178,46,3,2,2
179,46,4,1,3
180,47,3,3,4
181,47,3,3,3
182,47,3,3,3
183,47,3,3,3
184,47,2,3,2
185,47,3,4,3
186,47,4,3,3
187,47,3,3,3
188,47,2,3,3
189,47,4,2,2
190,47,1,3,3
191,47,1,3,3
192,48,4,4,4
193,48,3,4,2
194,48,3,3,3
195,49,4,3,4
196,49,4,3,3
197,49,4,4,3
198,49,4,4,4
199,49,4,3,4
200,49,4,3,4
201,50,3,3,5
202,50,3,5,3
203,50,4,5,4
204,50,4,3,3
205,50,4,5,3
206,50,3,4,4
207,50,4,4,4
208,50,3,5,4
209,50,3,4,3
210,51,3,3,3
211,51,2,3,3
212,51,3,4,3
213,53,4,4,3
214,53,3,3,3
215,53,4,3,3
216,53,3,4,3
217,53,2,4,4
218,53,2,4,3
219,53,2,4,3
220,53,3,3,4
221,53,3,3,3
222,53,5,5,3
223,53,3,2,4
224,53,3,3,3
225,53,3,4,3
226,53,4,3,3
227,53,3,4,4
228,55,2,2,3
229,55,1,2,3
230,55,2,2,2
231,55,3,4,3
232,55,2,3,3
233,55,3,3,3
234,55,4,2,3
235,55,4,2,3
236,55,3,3,3
237,55,3,3,3
238,60,3,3,2
239,60,3,3,3
240,60,2,2,3
241,60,2,2,3
242,60,3,4,2
243,60,3,2,2
244,60,4,3,2
245,60,3,3,3
246,60,4,3,3
247,60,2,3,2
248,60,3,3,3
249,60,3,4,3
250,70,4,5,3
251,70,4,3,3
252,70,4,3,3
253,70,3,3,3
254,70,4,3,4
255,72,5,5,5
256,72,5,5,5
257,72,5,5,5
258,72,5,5,5
259,72,5,5,5
260,74,4,4,4
261,74,4,3,4
262,74,4,5,4
263,74,4,5,4
264,74,3,4,4
265,74,5,3,4
266,74,4,3,4
267,78,3,5,3
268,78,4,3,3
269,78,3,3,4
270,78,4,4,3
271,78,3,4,4
272,78,3,4,4
273,78,4,3,4
274,78,3,2,3
275,78,5,5,3
276,81,3,4,4
277,81,4,4,5
278,81,4,4,2
279,83,5,4,4
280,83,5,4,4
281,83,4,5,4
282,83,3,4,3
283,83,4,5,5
284,83,2,4,4
285,83,4,4,4
286,83,4,4,4
287,83,5,3,4
288,83,5,4,4
289,85,5,4,5
290,85,5,5,4
291,85,5,5,5
292,87,4,4,4
293,87,5,4,4
294,87,4,5,5
295,88,4,4,4
296,88,3,4,4
297,88,3,3,4
298,88,3,4,4
299,88,4,3,4
300,88,4,3,3
301,88,3,4,4
302,88,3,3,3
303,88,4,4,3
304,90,1,4,4
305,90,3,3,1
306,90,4,3,3
307,90,1,3,4
308,90,4,3,3
309,91,3,4,3
310,91,3,4,3
311,91,3,4,3
312,93,3,5,4
313,93,4,5,4
314,93,3,5,5
315,93,3,3,4
316,93,3,5,4
317,93,4,5,3
318,93,4,4,4
319,93,4,4,4
320,93,3,4,4
321,93,5,5,4
322,94,4,3,3
323,94,2,4,2
324,94,2,3,3
325,94,3,4,3
326,94,3,3,3
327,94,3,3,3
328,94,3,3,3
329,94,3,3,3
330,94,3,3,4
331,94,2,3,2
332,94,3,3,2
333,94,5,3,3
334,97,1,2,2
335,97,2,2,3
336,97,2,2,3
337,97,1,3,2
338,97,3,3,2
339,97,3,3,1
340,97,1,3,2
341,97,2,2,1
342,97,1,2,1
343,97,1,2,2
344,97,3,2,2
345,99,3,3,3
346,99,4,3,3
347,99,3,4,2
348,99,3,4,3
349,99,3,3,4
350,99,3,4,2
351,99,3,2,4
352,99,4,3,4
353,99,2,3,3
354,99,3,3,3
355,99,3,3,4
356,102,4,3,3
357,102,3,3,3
358,102,4,2,4
359,102,3,3,3
360,102,3,3,4
361,104,4,3,2
362,104,3,4,4
363,104,3,3,3
364,104,4,4,4
365,104,4,3,4
366,104,4,4,4
367,104,4,2,3
368,104,4,3,3
369,104,4,3,4
370,105,3,3,3
371,105,4,3,4
372,105,3,3,3
373,105,5,3,3
374,105,3,3,2
375,105,2,4,2
376,105,4,4,4
377,105,4,4,3
378,105,3,4,3
379,105,2,3,4
380,106,3,4,4
381,106,4,3,4
382,106,4,4,4
383,106,3,4,4
384,106,4,4,3
385,106,4,4,4
386,106,4,4,4
387,106,3,4,3
388,106,3,4,5
389,106,5,4,4
390,106,4,5,3
391,106,4,4,4
392,106,5,3,5
393,107,3,4,3
394,107,3,5,3
395,107,3,3,5
396,107,4,5,3
397,107,4,4,3
398,107,4,4,3
399,107,3,5,4
400,107,4,4,4
401,108,5,3,3
402,108,4,4,4
403,108,3,4,4
404,108,3,4,4
405,108,4,3,4
406,108,3,4,4
407,108,4,4,3
408,108,3,5,3
409,109,3,4,2
410,109,2,3,3
411,109,3,3,4
412,109,4,3,4
413,109,2,4,4
414,109,3,4,3
415,111,5,4,5
416,111,5,5,5
417,111,5,5,5
418,113,2,2,3
419,113,3,3,3
420,113,1,3,3
421,113,2,2,2
422,113,3,2,2
423,113,2,2,3
424,113,2,3,2
425,113,2,2,2
426,113,2,3,2
427,113,3,2,3
428,113,2,1,2
429,113,1,3,2
430,113,3,2,2
431,113,2,2,2
432,119,4,4,4
433,119,4,4,4
434,119,5,4,4
435,119,4,4,4
436,119,5,4,4
437,119,3,3,4
438,119,4,3,4
439,119,5,4,5
440,119,5,5,5
441,119,4,5,5
442,119,4,5,5
443,119,4,4,4
444,119,5,5,5
445,119,4,5,4
446,120,5,3,4
447,120,3,4,4
448,120,3,3,4
449,120,4,3,4
450,120,4,4,4
451,120,4,2,3
452,120,3,4,4
453,120,4,4,5
454,120,4,3,4
455,120,4,3,3
456,120,4,4,4
457,120,4,4,4
458,123,3,4,3
459,123,3,3,3
460,123,4,3,3
461,123,3,4,3
462,123,1,4,3
463,123,4,3,3
464,123,3,4,3
465,123,4,3,3
466,123,3,3,3
467,123,3,3,4
468,123,4,3,4
469,128,3,4,4
470,128,4,4,3
471,128,5,4,4
472,128,5,5,4
473,128,5,4,4
474,128,4,3,4
475,128,4,4,5
476,128,4,5,4
477,128,3,5,5
478,128,4,5,4
479,128,5,5,4
480,128,4,5,4
481,129,3,3,4
482,129,3,4,4
483,129,4,5,3
484,129,4,4,4
485,129,3,3,4
486,129,5,4,4
487,129,4,4,4
488,129,5,4,4
489,129,4,5,4
490,129,4,5,4
491,129,4,5,4
492,129,5,3,4
493,129,4,3,3
494,129,2,4,3
495,129,4,4,3
496,132,3,4,3
497,132,4,3,4
498,132,4,3,3
499,132,2,4,3
500,132,3,2,3
501,132,3,4,3
502,135,5,5,5
503,135,5,4,5
504,135,3,4,4
505,135,4,5,5
506,135,5,5,5
507,135,5,5,5
508,135,5,4,5
509,135,5,4,4
510,135,3,5,5
511,135,5,5,5
512,135,4,5,5
513,135,5,5,5
514,135,4,5,5
515,135,5,5,5
516,135,4,5,5
517,136,3,4,3
518,136,3,4,3
519,136,2,4,3
520,136,3,4,3
521,136,4,4,3
522,136,3,4,3
523,136,3,3,4
524,136,4,3,4
525,136,2,4,3
526,136,3,4,2
527,136,4,2,3
528,138,4,5,5
529,138,4,4,5
530,138,3,4,4
531,138,5,5,5
532,138,4,5,4
533,138,4,4,4
534,138,4,4,5
535,138,5,4,4
536,138,3,4,4
537,138,4,5,4
538,138,4,4,4
539,142,3,3,3
540,142,2,3,3
541,142,2,3,1
542,142,2,2,2
543,142,2,3,1
544,142,3,2,2
545,142,2,2,3
546,142,3,2,3
547,142,2,3,3
548,148,3,4,4
549,148,4,4,5
550,148,4,3,4
551,148,3,4,3
552,148,4,4,3
553,148,3,4,4
554,148,3,4,3
555,148,3,3,4
556,148,3,4,3
557,148,4,3,3
558,148,5,4,3
559,148,3,3,4
560,148,5,4,3
561,148,2,3,3
562,149,2,2,3
563,149,3,3,3
564,149,3,3,3
565,149,4,3,2
566,149,2,3,4
567,149,2,3,4
568,149,3,3,3
569,149,3,4,3
570,149,3,3,3
571,150,3,5,4
572,150,5,5,5
573,150,4,5,5
574,150,5,4,5
575,150,4,4,4
576,150,4,5,4
577,150,4,4,4
578,150,4,4,4
579,150,4,5,4
580,150,4,5,5
581,150,4,3,5
582,150,4,3,5
583,150,3,5,5
584,150,5,4,5
585,150,4,5,5
586,152,5,3,2
587,152,4,4,3
588,152,2,3,4
589,152,3,4,5
590,152,3,5,4
591,155,3,4,3
592,155,4,3,3
593,155,3,4,3
594,155,4,4,3
595,155,3,4,4
596,155,4,4,4
597,155,3,5,3
598,155,3,4,4
599,155,4,3,4
600,155,3,3,3
601,155,3,4,4
602,155,3,5,3
603,155,5,4,4
604,156,5,5,4
605,156,5,5,4
606,156,3,5,4
607,156,4,4,5
608,156,5,5,5
609,156,5,4,3
610,159,4,4,4
611,159,5,4,2
612,159,2,5,4
613,159,4,4,4
614,159,4,4,3
615,159,3,4,4
616,159,4,4,3
617,159,4,4,3
618,160,3,3,3
619,160,3,4,3
620,160,4,4,2
621,160,3,3,4
622,160,2,4,3
623,165,2,2,3
624,165,3,3,2
625,165,2,2,3
626,166,2,3,1
627,166,3,2,3
628,166,2,2,3
629,166,2,3,2
630,166,2,3,3
631,166,2,2,2
632,166,3,3,2
633,168,4,3,3
634,168,4,4,2
635,168,4,3,4
636,168,2,3,3
637,168,3,4,3
638,168,3,4,4
639,168,3,4,3
640,168,3,2,3
641,168,3,4,4
642,168,3,2,3
643,168,3,4,3
644,170,2,2,2
645,170,2,3,3
646,170,1,2,1
647,170,3,2,2
648,170,2,2,2
649,170,1,2,2
650,170,3,2,2
651,170,2,1,2
652,170,1,3,2
653,170,4,3,2
654,172,3,2,4
655,172,3,3,4
656,172,3,3,5
657,172,4,4,3
658,172,4,3,4
659,172,3,4,4
660,172,4,4,4
661,172,4,3,5
662,172,5,3,3
663,172,4,5,3
664,173,2,3,3
665,173,3,3,3
666,173,3,3,3
667,173,4,2,3
668,173,3,4,3
669,173,3,3,3
670,173,2,2,3
671,173,3,3,2
672,173,3,2,3
673,173,2,3,2
674,173,2,4,3
675,173,3,3,3
676,173,2,3,2
677,173,3,3,2
678,174,5,5,4
679,174,5,5,5
680,174,5,5,4
681,177,3,4,3
682,177,4,3,4
683,177,4,5,4
684,177,4,4,4
685,177,5,4,5
686,178,3,3,3
687,178,3,3,3
688,178,3,3,3
689,178,4,3,3
690,178,3,4,3
691,178,3,3,2
692,178,4,3,4
693,178,4,2,3
694,178,2,4,3
695,178,3,3,3
696,178,3,3,3
697,178,5,4,3
698,179,2,2,2
699,179,2,2,3
700,179,2,2,2
701,179,2,3,2
702,179,2,3,1
703,179,1,2,2
704,179,3,2,2
705,179,3,1,2
706,179,3,2,2
707,179,3,3,3
708,179,2,2,1
709,184,3,3,3
710,184,4,3,3
711,184,3,4,4
712,184,3,4,4
713,184,3,3,3
714,184,3,4,3
715,184,4,3,3
716,184,3,5,4
717,184,4,3,3
718,185,2,4,3
719,185,3,4,4
720,185,3,4,4
721,185,3,4,4
722,188,5,5,5
723,188,5,5,5
724,188,5,4,5
725,189,4,4,3
726,189,4,4,4
727,189,4,3,3
728,189,4,5,3
729,189,5,4,4
730,189,3,4,5
731,189,4,3,5
732,191,3,4,3
733,191,3,3,4
734,191,3,4,4
735,191,3,3,4
736,191,3,3,4
737,191,5,3,3
738,191,3,3,4
739,191,3,3,3
740,191,2,3,3
741,191,4,4,3
742,191,3,3,4
743,191,5,4,3
744,196,3,3,4
745,196,4,4,5
746,196,4,4,3
747,196,4,4,3
748,196,3,4,4
749,196,5,4,3
750,196,4,3,3
751,196,3,4,4
752,196,5,3,4
753,196,4,3,4
754,196,3,4,4
755,196,3,3,4
756,197,3,3,3
757,197,3,3,2
758,197,3,3,4
759,197,4,4,3
760,197,3,5,2
761,201,2,3,4
762,201,3,4,3
763,201,4,2,4
764,201,3,3,4
765,201,4,3,3
766,201,2,3,3
767,201,3,3,3
768,201,5,3,2
769,205,3,5,3
770,205,3,5,4
771,205,4,3,3
772,205,3,4,4
773,205,4,4,4
774,205,4,3,4
775,205,4,4,4
776,205,4,4,4
777,205,4,4,4
778,205,4,3,4
779,205,4,3,5
780,205,4,4,4
781,205,4,4,4
782,205,4,4,5
783,206,3,3,3
784,206,2,4,3
785,206,3,3,4
786,206,1,3,3
787,206,2,4,3
788,206,2,3,3
789,206,3,3,4
790,206,3,3,3
791,207,4,3,4
792,207,5,4,4
793,207,4,5,4
794,207,5,4,3
795,207,4,4,4
796,207,2,5,4
797,210,3,3,2
798,210,3,2,3
799,210,4,3,3
800,210,3,4,3
801,210,3,3,3
802,210,3,3,3
803,212,4,3,3
804,212,4,3,3
805,212,3,4,2
806,212,2,4,4
807,212,1,3,2
808,212,3,3,3
809,212,2,2,3
810,212,3,3,2
811,212,4,2,2
812,213,3,4,3
813,213,2,4,4
814,213,3,3,4
815,213,4,4,3
816,213,3,4,3
817,213,3,4,4
818,213,3,4,3
819,213,1,3,4
820,213,3,4,3
821,213,4,2,3
822,213,3,5,3
823,213,4,3,4
824,213,3,4,3
825,213,2,5,3
826,213,3,4,3
827,215,2,4,4
828,215,3,4,3
829,215,3,4,4
830,215,4,4,4
831,215,4,5,4
832,215,4,4,4
833,215,4,3,3
834,215,3,3,3
835,215,4,4,3
836,215,3,3,3
837,215,3,4,4
838,215,4,4,5
839,215,4,4,3
840,215,3,3,3
841,215,3,4,3
842,217,3,4,2
843,217,3,4,3
844,217,3,4,4
845,217,4,3,3
846,217,3,3,3
847,217,3,3,3
848,217,4,3,3
849,217,4,3,3
850,217,3,4,3
851,217,4,3,3
852,217,4,3,3
853,219,4,5,4
854,219,3,4,4
855,219,5,4,3
856,219,5,4,4
857,219,4,5,4
858,219,4,4,4
859,219,3,4,5
860,219,4,4,5
861,219,5,5,5
862,222,5,3,4
863,222,5,5,4
864,222,5,4,5
865,222,4,5,5
866,222,4,5,5
867,222,3,5,5
868,222,5,5,5
869,222,5,4,5
870,222,5,4,4
871,222,5,5,5
872,222,5,5,5
873,225,3,3,4
874,225,3,3,2
875,225,4,4,3
876,225,3,4,3
877,225,2,4,3
878,225,4,3,3
879,225,3,4,3
880,225,4,4,3
881,226,3,3,4
882,226,3,3,3
883,226,3,3,2
884,226,3,4,4
885,226,3,4,3
886,226,4,4,3
887,229,4,3,2
888,229,4,5,3
889,229,2,3,3
890,229,5,3,3
891,229,4,3,4
892,229,3,3,3
893,229,4,3,3
894,229,2,4,3
895,229,5,3,3
896,229,2,4,4
897,231,3,4,4
898,231,4,3,4
899,231,3,3,3
900,231,4,3,4
901,231,4,3,3
902,231,3,5,3
903,231,3,3,3
904,232,5,5,4
905,232,5,5,5
906,232,4,5,5
907,232,5,5,5
908,233,2,4,3
909,233,2,4,3
910,233,3,4,3
911,233,2,4,3
912,233,5,3,3
913,233,2,3,2
914,233,3,4,3
915,233,3,4,3
916,233,4,3,3
917,233,2,3,4
918,233,4,3,4
919,233,3,4,3
920,233,3,3,3
921,235,3,4,5
922,235,4,4,4
923,235,4,4,4
924,235,3,4,4
925,235,4,4,4
926,235,4,4,4
927,235,3,4,4
928,235,3,4,3
929,236,5,5,5
930,236,5,5,5
931,236,5,5,5
932,236,5,5,5
933,236,5,5,5
934,236,5,5,5
935,236,5,5,5
936,237,3,3,3
937,237,3,4,3
938,237,4,5,3
939,237,3,3,3
940,237,2,3,2
941,237,3,3,2
942,239,4,3,4
943,239,3,4,3
944,239,3,4,3
945,239,4,3,4
946,239,3,4,3
947,239,3,4,3
948,239,3,2,2
949,239,4,3,3
950,239,2,3,3
951,239,4,2,3
952,239,3,3,4
953,239,4,3,3
954,240,4,3,4
955,240,3,4,3
956,240,3,3,4
957,240,2,4,4
958,240,4,4,2
959,240,3,3,3
960,240,2,4,3
961,240,3,3,4
962,240,3,4,3
963,241,3,3,4
964,241,3,3,3
965,241,3,4,3
966,241,3,2,3
967,241,3,3,3
968,241,4,2,4
969,241,4,4,3
970,241,3,3,3
971,241,2,3,4
972,241,3,4,4
973,242,3,4,4
974,242,3,4,5
975,242,4,4,3
976,242,2,4,3
977,242,4,3,4
978,242,4,5,4
979,242,4,5,3
980,242,4,3,4
981,242,4,4,4
982,242,4,4,4
983,243,3,3,3
984,243,2,2,3
985,243,2,2,2
986,243,1,2,2
987,243,1,3,2
988,243,2,2,2
989,243,1,1,3
990,243,3,2,3
991,243,2,4,3
992,243,3,1,3
993,243,2,2,3
994,243,3,3,3
995,243,3,2,2
996,243,3,2,2
997,243,2,2,2
998,251,4,4,5
999,251,4,5,3
1000,251,4,5,4
1001,251,5,5,5
1002,251,4,5,4
1003,251,4,4,4
1004,251,5,4,4
1005,251,5,4,4
1006,251,3,3,4
1007,251,4,4,5
1008,251,4,3,5
1009,251,4,4,4
1010,251,5,5,4
1011,252,5,5,5
1012,252,5,4,5
1013,252,5,4,5
1014,252,5,5,5
1015,252,2,5,4
1016,252,5,5,5
1017,252,3,5,5
1018,252,5,5,5
1019,252,5,5,4
1020,252,4,5,5
1021,258,1,2,2
1022,258,3,2,2
1023,258,2,2,2
1024,258,2,2,2
1025,258,1,2,2
1026,258,4,2,3
1027,258,2,2,2
1028,258,5,3,3
1029,258,3,3,3
1030,258,3,3,3
1031,261,4,4,4
1032,261,4,5,4
1033,261,4,4,4
1034,261,4,5,4
1035,261,5,4,3
1036,261,4,4,3
1037,261,3,4,3
1038,261,3,3,3
1039,261,5,3,4
1040,262,3,4,3
1041,262,4,3,3
1042,262,3,5,4
1043,262,3,3,4
1044,262,4,3,4
1045,262,2,4,4
1046,262,4,4,2
1047,262,2,4,3
1048,262,3,3,4
1049,263,5,5,5
1050,263,5,5,4
1051,263,5,4,5
1052,263,5,4,4
1053,263,4,5,4
1054,265,2,3,3
1055,265,3,3,3
1056,265,4,3,3
1057,265,4,3,3
1058,265,3,3,4
1059,265,3,1,4
1060,265,3,3,3
1061,265,3,3,3
1062,269,2,2,3
1063,269,4,3,2
1064,269,3,2,4
1065,270,4,5,4
1066,270,4,4,5
1067,270,5,3,3
1068,270,4,4,3
1069,273,4,5,4
1070,273,2,3,3
1071,273,4,4,3
1072,274,3,3,2
1073,274,2,3,3
1074,274,2,3,3
1075,274,2,3,4
1076,274,3,3,3
1077,274,2,3,3
1078,274,2,3,3
1079,274,1,4,3
1080,274,3,3,2
1081,274,3,2,3
1082,274,2,3,3
1083,275,3,2,3
1084,275,3,3,4
1085,275,2,4,4
1086,275,3,2,4
1087,275,4,4,3
1088,275,3,4,4
1089,275,5,5,4
1090,275,4,4,4
1091,275,4,3,4
1092,275,3,3,3
1093,275,3,4,3
1094,275,2,3,3
1095,275,3,4,4
1096,275,3,4,3
1097,277,3,2,3
1098,277,3,3,4
1099,277,2,3,3
1100,277,2,3,3
1101,279,5,3,3
1102,279,4,4,4
1103,279,4,4,3
1104,279,4,4,3
1105,279,5,4,4
1106,279,4,5,4
1107,279,2,3,4
1108,279,4,4,4
1109,281,5,5,5
1110,281,5,5,5
1111,281,5,5,5
1112,281,4,5,5
1113,281,5,5,5
1114,281,4,5,5
1115,284,4,4,4
1116,284,3,4,3
1117,284,3,3,3
1118,284,3,3,2
1119,284,4,4,3
1120,284,3,3,3
1121,284,3,3,3
1122,284,4,4,3
1123,286,5,3,3
1124,286,4,3,4
1125,286,3,4,4
1126,286,4,5,3
1127,286,3,3,3
1128,286,4,4,4
1129,286,3,3,4
1130,286,5,3,4
1131,287,3,3,2
1132,287,2,3,2
1133,287,2,3,3
1134,287,2,3,3
1135,287,2,3,3
1136,287,3,3,3
1137,287,3,3,3
1138,287,1,3,3
1139,287,3,3,2
1140,287,3,2,3
1141,289,3,4,4
1142,289,3,4,4
1143,289,3,4,3
1144,289,3,4,3
1145,289,2,4,4
1146,289,3,4,4
1147,289,3,3,3
1148,289,4,4,3
1149,289,5,4,3
1150,289,3,4,4
1151,290,3,4,4
1152,290,2,3,4
1153,290,3,4,4
1154,290,4,3,3
1155,290,2,3,3
1156,290,4,3,3
1157,290,3,4,4
1158,290,3,3,3
1159,290,2,4,4
1160,290,3,4,4
1161,290,3,3,3
1162,290,5,3,3
1163,290,4,4,3
1164,290,3,4,4
1165,295,3,4,3
1166,295,4,5,4
1167,295,4,3,3
1168,295,4,2,3
1169,295,3,4,3
1170,295,2,4,4
1171,295,4,3,4
1172,295,3,3,5
1173,295,2,2,4
1174,295,3,4,3
1175,296,5,5,5
1176,296,4,5,5
1177,296,5,5,5
1178,296,5,5,5
1179,296,5,5,5
1180,296,5,5,5
1181,298,3,3,3
1182,298,3,3,2
1183,298,3,3,3
1184,298,2,3,3
1185,298,2,2,3
1186,298,2,2,3
1187,298,2,3,3
1188,298,3,3,2
1189,298,2,2,3
1190,299,5,4,4
1191,299,4,5,2
1192,299,4,4,3
1193,299,4,4,4
1194,299,4,4,4
1195,299,4,4,4
1196,299,5,5,3
1197,299,5,4,3
1198,299,4,4,3
1199,300,2,4,3
1200,300,4,4,3
1201,300,4,3,2
1202,310,4,2,4
1203,310,1,3,2
1204,310,2,4,2
1205,310,2,3,3
1206,310,3,2,3
1207,310,2,3,3
1208,310,2,4,3
1209,310,2,2,3
1210,310,2,3,3
1211,310,2,2,3
1212,310,2,2,3
1213,311,2,3,2
1214,311,3,3,3
1215,311,4,3,4
1216,311,3,3,2
1217,315,1,3,3
1218,315,4,3,2
1219,315,1,4,2
1220,315,3,3,3
1221,315,3,3,3
1222,315,3,4,3
1223,315,2,2,2
1224,315,3,3,3
1225,315,3,3,3
1226,315,2,3,2
1227,317,3,4,3
1228,317,4,3,3
1229,317,4,2,3
1230,317,3,3,3
1231,317,2,4,3
1232,317,3,4,3
1233,317,3,2,3
1234,317,2,4,2
1235,317,3,4,2
1236,317,4,3,3
1237,317,3,4,3
1238,318,3,4,4
1239,318,3,4,3
1240,318,2,3,4
1241,318,3,4,4
1242,318,3,2,3
1243,318,2,4,4
1244,318,4,4,3
1245,318,5,4,5
1246,318,4,3,4
1247,318,3,4,3
1248,318,2,3,3
1249,323,3,3,2
1250,323,2,2,2
1251,323,2,3,2
1252,323,3,3,3
1253,323,3,3,2
1254,323,1,3,2
1255,323,3,2,3
1256,323,2,3,2
1257,323,3,3,2
1258,326,5,5,4
1259,326,5,5,5
1260,326,5,5,4
1261,326,4,5,5
1262,326,5,5,5
1263,327,4,4,3
1264,327,3,4,2
1265,327,3,4,3
1266,327,4,3,4
1267,327,4,3,4
1268,327,3,2,4
1269,327,2,4,3
1270,327,3,4,4
1271,327,3,3,4
1272,327,4,4,4
1273,327,2,3,3
1274,327,2,3,3
1275,327,3,4,3
1276,328,5,4,4
1277,328,4,4,4
1278,328,4,4,4
1279,328,4,4,4
1280,328,3,4,4
1281,329,2,4,2
1282,329,3,4,4
1283,329,3,5,4
1284,329,4,3,4
1285,329,4,3,3
1286,329,5,3,4
1287,329,4,5,3
1288,329,3,3,4
1289,329,4,3,3
1290,329,2,4,4
1291,329,4,4,4
1292,329,3,4,3
1293,329,4,4,4
1294,333,3,5,5
1295,333,4,5,4
1296,333,4,4,4
1297,333,3,5,3
1298,333,4,4,5
1299,333,3,4,4
1300,333,3,3,4
1301,333,4,4,5
1302,333,3,4,3
1303,333,3,4,4
1304,333,4,4,5
1305,333,5,5,4
1306,333,5,5,5
1307,333,4,4,4
1308,335,2,2,3
1309,335,2,1,1
1310,335,1,2,2
1311,335,1,3,2
1312,335,1,2,2
1313,335,1,2,2
1314,339,1,2,2
1315,339,1,2,2
1316,339,1,1,2
1317,339,3,2,2
1318,339,3,2,2
1319,339,2,2,2
1320,340,5,4,4
1321,340,4,5,5
1322,340,5,5,5
1323,340,4,5,5
1324,340,5,5,5
1325,340,4,4,5
1326,340,5,5,5
1327,340,5,5,3
1328,342,5,5,5
1329,342,4,5,5
1330,342,5,5,5
1331,342,5,5,5
1332,342,5,5,5
1333,342,5,5,5
1334,342,5,5,5
1335,342,4,5,5
1336,342,5,5,4
1337,342,5,5,5
1338,342,5,5,5
1339,342,5,4,5
1340,342,5,5,5
1341,343,4,4,4
1342,343,3,5,5
1343,343,4,4,3
1344,344,3,4,4
1345,344,4,3,4
1346,344,3,4,4
1347,344,4,4,4
1348,344,4,5,3
1349,344,2,4,3
1350,344,3,4,5
1351,344,4,4,3
1352,344,4,5,3
1353,344,4,4,4
1354,344,4,4,4
1355,344,4,4,4
1356,344,3,4,3
